Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,1216,1,1216.0,1216.0,1216,1216,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_15CUDAFunctor_addIfEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AbsFunctorIfEESt5arrayIPcLm2EEEEviT0_T1_
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,  33    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_11FillFunctorIfEESt5arrayIPcLm1EEEEviT0_T1_
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_16BitwiseOrFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1184,1,1184.0,1184.0,1184,1184,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_51_GLOBAL__N__28ce311f_18_CompareEQKernel_cu_d8008c9616CompareEqFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1152,1,1152.0,1152.0,1152,1152,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_17BitwiseAndFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1152,1,1152.0,1152.0,1152,1152,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi8ENS0_13AUnaryFunctorIN3c108BFloat16ES4_S4_NS0_15binary_internal10MulFunctorIfEEEESt5arrayIPcLm2EEEEviT0_T1_
0.0,1152,1,1152.0,1152.0,1152,1152,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi8ENS0_21CUDAFunctorOnSelf_addIN3c108BFloat16EEESt5arrayIPcLm2EEEEviT0_T1_
0.0,1024,1,1024.0,1024.0,1024,1024,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_11FillFunctorIfEESt5arrayIPcLm1EEEEviT0_T1_
0.0,960,1,960.0,960.0,960,960,0.0,  17    1    1,  64    1    1,_ZN50_GLOBAL__N__fa15d16e_17_RangeFactories_cu_38772b0829elementwise_kernel_with_indexIiZZZN2at6native15arange_cuda_outERKN3c106ScalarES6_S6_RNS1_6TensorEENKUlvE_clEvENKUlvE2_clEvEUllE_EEvT_T0_PN15function_traitsISD_E11result_typeE
